converted from bop software 

        32000 atoms
            3 atom types
-42.478235 42.478235 xlo xhi
-42.478235 42.478235 ylo yhi
-42.478235 42.478235 zlo zhi

Atoms

1 2 -35.66309482 -40.02505982 -37.62571482
2 1 -32.52800982 -38.75487882 -36.96593682
3 1 -31.16841482 -36.58616382 -38.29633882
4 2 -38.00694782 -42.00974682 -40.32616482
5 2 -36.47932982 -37.27476182 -37.93642482
6 1 -41.06478582 -41.63325782 -41.62935282
7 1 -33.70621182 -37.26284482 -39.19958282
8 1 -34.18232782 -42.11425282 -41.76827282
9 1 -35.77099482 -41.91034382 -40.29502282
10 1 -42.03742282 -37.01746482 -37.44660882
11 2 -34.84339682 -36.81238382 -36.30076182
12 2 -38.97923482 -36.27398182 -41.07499682
13 3 -32.48585982 -36.53190582 -41.20933982
14 2 -39.78323182 -40.66317282 -39.70784582
15 1 -37.77900082 -39.65418382 -37.06128182
16 2 -37.49624882 -42.12249182 -36.29230582
17 1 -31.92201182 -40.79127882 -41.45800082
18 2 -35.93305182 -37.08986082 -40.86996882
19 2 -40.42177282 -40.53693682 -36.91447982
20 2 -32.24573782 -40.74983282 -39.22392882
21 3 -34.54508282 -39.43892582 -40.46263382
22 2 -39.23289582 -37.71214882 -37.78781382
23 2 -37.57830082 -39.25602482 -39.68900982
24 1 -31.77864082 -41.19712282 -35.50751882
25 1 -41.15304182 -38.50236382 -39.39430982
26 2 -38.93501482 -35.72983582 -38.40032982
27 1 -40.15986382 -38.44735282 -42.16265382
28 1 -41.55880282 -36.49402582 -41.06685382
29 1 -34.86257282 -41.22152282 -35.55872782
30 2 -36.47430282 -41.37223982 -42.38719482
31 1 -37.17050482 -38.02038482 -42.39470182
32 2 -35.83849982 -35.93441882 -33.89292682
33 2 -35.11482882 -41.54154282 -32.76854182
34 1 -31.44062982 -36.56415882 -35.19317282
35 2 -32.19442882 -38.94836682 -32.42890782
36 1 -36.53804382 -39.51221282 -30.94119282
37 2 -33.13134382 -36.42754782 -33.43199782
38 2 -34.91264582 -37.98603182 -31.78553982
39 2 -37.70465682 -41.28347982 -32.32030982
40 2 -34.77198382 -38.23178382 -29.20975282
41 1 -39.02591982 -39.06616682 -35.02891182
42 1 -40.24989082 -37.24432282 -31.10722582
43 1 -41.29968182 -36.01874682 -33.44736682
44 2 -36.57951582 -40.16201282 -34.81411182
45 1 -38.89767982 -36.29324082 -33.95938582
46 2 -41.67918582 -39.00124582 -29.69663282
47 2 -37.36233782 -41.05071182 -29.08097082
48 2 -39.46074282 -41.64141682 -34.42899382
49 1 -40.80246482 -37.43695482 -35.24832482
50 2 -38.30285082 -38.30483182 -31.89171582
51 2 -32.40007682 -37.11871382 -30.75562882
52 2 -38.02636682 -36.38804182 -29.50888782
53 1 -35.00987182 -40.99605482 -30.36319882
54 1 -40.13475082 -40.58977082 -31.17582982
55 1 -34.20119682 -38.58903582 -34.19207882
56 2 -41.37300482 -39.13053982 -32.79308882
57 2 -32.75765282 -40.30410082 -30.32489682
58 2 -32.18200982 -41.57249182 -32.71270482
59 1 -40.54218682 -42.40296782 -32.57719882
60 2 -41.22254782 -36.11121782 -28.40018782
61 1 -30.70582982 -39.16711282 -34.24851382
62 2 -34.79458382 -35.92126682 -31.19729082
63 1 -40.89794282 -41.33054482 -28.35162282
64 1 -36.69145882 -39.87985882 -22.39488082
65 1 -34.32122082 -39.16937082 -22.51609082
66 2 -31.24471182 -36.83543182 -25.38606882
67 1 -36.32404182 -36.74006682 -23.89493382
68 2 -36.26806982 -38.54096182 -27.25767382
69 1 -31.16334482 -40.17331082 -22.29934582
70 1 -38.55717682 -41.30020882 -27.05650182
71 2 -37.64008182 -41.46244482 -24.78052882
72 1 -39.04950582 -38.40058582 -28.21164982
73 2 -40.29615082 -39.83213682 -24.99889282
74 2 -31.76108982 -35.65440582 -22.30951882
75 1 -41.03774682 -36.71814982 -25.52895182
76 1 -33.79109982 -41.73292382 -27.70861482
77 1 -34.47191682 -37.03851782 -26.53118182
78 3 -38.07932182 -38.57563182 -25.40790582
79 1 -39.13876382 -37.88057682 -23.08087682
80 1 -33.24802182 -40.84477282 -21.43888782
81 1 -39.10336782 -40.58039482 -23.08426682
82 1 -32.32014582 -41.57182682 -24.47645182
83 2 -35.52520482 -40.76429982 -26.37858282
84 1 -31.98273082 -39.17107282 -27.51428382
85 1 -31.45094882 -42.39251882 -27.01694782
86 1 -33.49933082 -39.37272782 -25.03649382
87 2 -35.14082882 -41.76612382 -24.10862682
88 2 -41.56169482 -42.22175882 -22.34507482
89 1 -33.43727882 -36.51740482 -23.81386882
90 1 -38.83950182 -35.81496182 -24.81311482
91 1 -37.92422782 -35.77836482 -27.08605382
92 1 -42.26412082 -38.87682282 -27.14537182
93 2 -41.53481182 -39.74236982 -21.46185182
94 1 -30.48538582 -37.71165882 -22.71507882
95 2 -32.26508382 -35.41287582 -19.66954282
96 2 -35.69621782 -38.47243282 -20.36169782
97 2 -35.89823482 -36.18630982 -20.66379582
98 2 -41.68656682 -36.80662082 -17.78456282
99 2 -33.56375682 -37.20343282 -18.53361982
100 1 -38.79639482 -36.31980782 -20.04028982
101 2 -38.35552182 -41.45759482 -16.39491582
102 1 -40.09252782 -36.48971982 -15.80368182
103 2 -30.79215582 -39.15692582 -15.23403982
104 1 -36.60546182 -39.55713182 -16.38796182
105 2 -39.97154182 -41.78335182 -20.27257382
106 2 -41.66976982 -39.78444382 -19.11689382
107 2 -32.90264282 -37.82658182 -20.90759882
108 1 -37.51998982 -40.87652582 -19.06106182
